# BetterQuesting Item Export
# Format: modid:item_name
# Use these IDs in DSL quest files

3DManeuverGear:3DManeuverGear                      # 3D Maneuver Gear
AWWayofTime:earthScribeTool                        # Elemental Inscription Tool: Earth
AWWayofTime:efficiencyRune                         # Efficiency Rune
AWWayofTime:emptySocket                            # Empty Socket
AWWayofTime:energyBazooka                          # Energy Bazooka
AWWayofTime:energyBazookaSecondTier                # Energy Bazooka II
AWWayofTime:energyBazookaThirdTier                 # Energy Bazooka III
AWWayofTime:energyBlaster                          # Energy Blaster
AWWayofTime:energyBlasterSecondTier                # Energy Blaster II
AWWayofTime:energyBlasterThirdTier                 # Energy Blaster III
AWWayofTime:energySword                            # Bound Blade
AWWayofTime:enhancedFillingAgent                   # Enhanced Filling Agent
AWWayofTime:enhancedTelepositionFocus              # Enhanced Teleposition Focus
AWWayofTime:fireScribeTool                         # Elemental Inscription Tool: Fire
AWWayofTime:fluidSigil                             # Fluid Sigil [Unimplemented]
AWWayofTime:greaterLengtheningCatalyst             # Greater Lengthening Catalyst
AWWayofTime:greaterPowerCatalyst                   # Greater Power Catalyst
AWWayofTime:growthSigil                            # Sigil of the Green Grove
AWWayofTime:imbuedSlate                            # Imbued Slate
AWWayofTime:imperfectRitualStone                   # Imperfect Ritual Stone
AWWayofTime:incendium                              # Incendium
AWWayofTime:inputRoutingFocus                      # Input Routing Focus
AWWayofTime:itemAssassinSigil                      # Sigil of the Assassin [Unimplemented]
AWWayofTime:itemAttunedCrystal                     # Alchemic Router
AWWayofTime:itemBloodLightSigil                    # Sigil of the Blood Lamp
AWWayofTime:itemBloodPack                          # Blood Letter's Pack
AWWayofTime:itemCombinationalCatalyst              # Combinational Catalyst
AWWayofTime:itemComplexSpellCrystal                # Complex Spell Crystal
AWWayofTime:itemCompressionSigil                   # Sigil of Compression
AWWayofTime:itemDestinationClearer                 # Alchemic Cleanser
AWWayofTime:itemHarvestSigil                       # Harvest Goddess Sigil
AWWayofTime:itemKeyOfDiablo                        # Key of Binding
AWWayofTime:itemMailCatalogue                      # Mail Order Catalogue
AWWayofTime:itemRitualDiviner                      # Ritual Diviner
AWWayofTime:itemTankSegmenter                      # Alchemic Segmenter
AWWayofTime:largeBloodStoneBrick                   # Large Bloodstone Brick
AWWayofTime:lavaCrystal                            # Lava Crystal
AWWayofTime:lavaSigil                              # Lava Sigil
AWWayofTime:lifeEssence                            # Life Essence
AWWayofTime:magicales                              # Magicales
AWWayofTime:magicianBloodOrb                       # Magician Blood Orb
AWWayofTime:masterBloodOrb                         # Master Blood Orb
AWWayofTime:masterStone                            # Master Ritual Stone
AWWayofTime:mundaneLengtheningCatalyst             # Mundane Lengthening Catalyst
AWWayofTime:mundanePowerCatalyst                   # Mundane Power Catalyst
AWWayofTime:outputRoutingFocus                     # Output Routing Focus
AWWayofTime:reinforcedSlate                        # Reinforced Slate
AWWayofTime:reinforcedTelepositionFocus            # Reinforced Teleposition Focus
AWWayofTime:ritualDismantler                       # Ritual Dismantler
AWWayofTime:ritualStone                            # Ritual Stone
AWWayofTime:runeOfSacrifice                        # Rune of Sacrifice
AWWayofTime:runeOfSelfSacrifice                    # Rune of Self-Sacrifice
AWWayofTime:sacrificialKnife                       # Sacrificial Knife
AWWayofTime:sanctus                                # Sanctus
AWWayofTime:sanguineBoots                          # Sanguine Boots
AWWayofTime:sanguineHelmet                         # Sanguine Helmet
AWWayofTime:sanguinePants                          # Sanguine Leggings
AWWayofTime:sanguineRobe                           # Sanguine Robes
AWWayofTime:seerSigil                              # Sigil of Sight
AWWayofTime:sigilOfElementalAffinity               # Sigil of Elemental Affinity
AWWayofTime:sigilOfEnderSeverance                  # Sigil of Ender Severance
AWWayofTime:sigilOfHaste                           # Sigil of Haste
AWWayofTime:sigilOfHolding                         # Sigil of Holding
AWWayofTime:sigilOfMagnetism                       # Sigil of Magnetism
AWWayofTime:sigilOfSupression                      # Sigil of Suppression
AWWayofTime:sigilOfTheBridge                       # Sigil of the Phantom Bridge
AWWayofTime:sigilOfTheFastMiner                    # Sigil of the Fast Miner
AWWayofTime:sigilOfWind                            # Sigil of the Whirlwind
AWWayofTime:simpleCatalyst                         # Simple Catalyst
AWWayofTime:spectralBlock                          # Spectral Block
AWWayofTime:spectralContainer                      # Spectral Container
AWWayofTime:speedRune                              # Speed Rune
AWWayofTime:standardBindingAgent                   # Standard Binding Agent
AWWayofTime:standardFillingAgent                   # Standard Filling Agent
AWWayofTime:telepositionFocus                      # Teleposition Focus
AWWayofTime:tennebrae                              # Tenebrae
AWWayofTime:terrae                                 # Terrae
AWWayofTime:transcendentBloodOrb                   # Transcendent Blood Orb
AWWayofTime:voidSigil                              # Void Sigil
AWWayofTime:waterScribeTool                        # Elemental Inscription Tool: Water
AWWayofTime:waterSigil                             # Water Sigil
AWWayofTime:weakBindingAgent                       # Weak Binding Agent
AWWayofTime:weakBloodOrb                           # Weak Blood Orb
AWWayofTime:weakBloodShard                         # Weak Blood Shard
AWWayofTime:weakFillingAgent                       # Weak Filling Agent
ActuallyAdditions:blockAtomicReconstructor         # Atomic Reconstructor
ActuallyAdditions:blockBlackLotus                  # Black Lotus
ActuallyAdditions:blockBookStand                   # Manual Stand
ActuallyAdditions:blockBreaker                     # Auto-Breaker
ActuallyAdditions:blockCanola                      # Canola Plant
ActuallyAdditions:blockCanolaOil                   # Canola Oil
ActuallyAdditions:blockCanolaPress                 # Canola Press
ActuallyAdditions:blockChiseledQuartzSlab          # Chiseled Black Quartz Slab
ActuallyAdditions:blockChiseledQuartzStair         # Chiseled Black Quartz Stairs
ActuallyAdditions:blockChiseledQuartzWall          # Chiseled Black Quartz Wall
ActuallyAdditions:blockCoalGenerator               # Coal Generator
ActuallyAdditions:blockCoffee                      # Coffee Plant
ActuallyAdditions:blockCoffeeMachine               # Coffee Machine
ActuallyAdditions:blockColoredLamp                 # White Lamp
ActuallyAdditions:blockColoredLampOn               # White Lamp (On)
ActuallyAdditions:blockCompost                     # Compost
ActuallyAdditions:blockCrystal                     # Restonia Crystal Block
ActuallyAdditions:blockDirectionalBreaker          # Long-Range Breaker
ActuallyAdditions:blockDropper                     # Automatic Precision Dropper
ActuallyAdditions:blockEnergizer                   # Energizer
ActuallyAdditions:blockEnervator                   # Enervator
ActuallyAdditions:blockFeeder                      # Automatic Feeder
ActuallyAdditions:blockFermentingBarrel            # Fermenting Barrel
ActuallyAdditions:blockFireworkBox                 # Firework Box
ActuallyAdditions:blockFishingNet                  # Fishing Net
ActuallyAdditions:blockFlax                        # Flax Plant
ActuallyAdditions:blockFluidCollector              # Fluid Collector
ActuallyAdditions:blockFluidPlacer                 # Fluid Placer
ActuallyAdditions:blockFurnaceDouble               # Double Furnace
ActuallyAdditions:blockFurnaceSolar                # Solar Panel
ActuallyAdditions:blockGiantChest                  # Storage Crate
ActuallyAdditions:blockGreenhouseGlass             # Greenhouse Glass
ActuallyAdditions:blockGrinder                     # Crusher
ActuallyAdditions:blockGrinderDouble               # Double Crusher
ActuallyAdditions:blockHeatCollector               # Heat Collector
ActuallyAdditions:blockInputter                    # ESD (Ethereal System Dude)
ActuallyAdditions:blockInputterAdvanced            # Advanced ESD (Express Sending Doughnut)
ActuallyAdditions:blockItemRepairer                # Item Repairer
ActuallyAdditions:blockLampPowerer                 # Lamp Controller
ActuallyAdditions:blockLaserRelay                  # Laser Relay
ActuallyAdditions:blockLavaFactoryController       # Lava Factory Controller
ActuallyAdditions:blockLeafGenerator               # Leaf-Eating Generator
ActuallyAdditions:blockMiner                       # Vertical Digger
ActuallyAdditions:blockMisc                        # Pillar of Black Quartz
ActuallyAdditions:blockOilGenerator                # Oil Generator
ActuallyAdditions:blockPhantomBooster              # Phantom Booster
ActuallyAdditions:blockPhantomBreaker              # Phantom Breaker
ActuallyAdditions:blockPhantomEnergyface           # Phantom Energyface
ActuallyAdditions:blockPhantomLiquiface            # Phantom Liquiface
ActuallyAdditions:blockPhantomPlacer               # Phantom Placer
ActuallyAdditions:blockPhantomface                 # Phantomface
ActuallyAdditions:blockPillarQuartzSlab            # Black Quartz Pillar Slab
ActuallyAdditions:blockPillarQuartzStair           # Black Quartz Pillar Stairs
ActuallyAdditions:blockPillarQuartzWall            # Black Quartz Pillar Wall
ActuallyAdditions:blockPlacer                      # Auto-Placer
ActuallyAdditions:blockQuartzSlab                  # Black Quartz Slab
ActuallyAdditions:blockQuartzStair                 # Black Quartz Stairs
ActuallyAdditions:blockQuartzWall                  # Black Quartz Wall
ActuallyAdditions:blockRangedCollector             # Ranged Collector
ActuallyAdditions:blockRice                        # Rice Plant
ActuallyAdditions:blockSmileyCloud                 # Smiley Cloud
ActuallyAdditions:blockTestifiBucksGreenFence      # Ethetic Green Wall
ActuallyAdditions:blockTestifiBucksGreenSlab       # Ethetic Green Slab
ActuallyAdditions:blockTestifiBucksGreenStairs     # Ethetic Green Stairs
ActuallyAdditions:blockTestifiBucksGreenWall       # Ethetic Green Block
ActuallyAdditions:blockTestifiBucksWhiteFence      # Ethetic Quartz Wall
ActuallyAdditions:blockTestifiBucksWhiteSlab       # Ethetic Quartz Slab
ActuallyAdditions:blockTestifiBucksWhiteStairs     # Ethetic Quartz Stairs
ActuallyAdditions:blockTestifiBucksWhiteWall       # Ethetic Quartz
ActuallyAdditions:blockTreasureChest               # Treasure Chest
ActuallyAdditions:blockWild                        # Wild Canola
ActuallyAdditions:blockXPSolidifier                # Experience Solidifier
ActuallyAdditions:diamondPaxel                     # Diamond AIOT
ActuallyAdditions:emeraldPaxel                     # Emerald AIOT
ActuallyAdditions:goldPaxel                        # Golden AIOT
ActuallyAdditions:ironPaxel                        # Iron AIOT
ActuallyAdditions:itemAxeCrystalBlack              # Void Crystal Axe
ActuallyAdditions:itemAxeCrystalBlue               # Palis Crystal Axe
ActuallyAdditions:itemAxeCrystalGreen              # Emeradic Crystal Axe
ActuallyAdditions:itemAxeCrystalLightBlue          # Diamatine Crystal Axe
ActuallyAdditions:itemAxeCrystalRed                # Restonia Crystal Axe
ActuallyAdditions:itemAxeCrystalWhite              # Enori Crystal Axe
ActuallyAdditions:itemAxeEmerald                   # Emerald Axe
ActuallyAdditions:itemAxeObsidian                  # Obsidian Axe
ActuallyAdditions:itemAxeQuartz                    # Black Quartz Axe
ActuallyAdditions:itemBattery                      # Single Battery
ActuallyAdditions:itemBatteryDouble                # Double Battery
ActuallyAdditions:itemBatteryQuadruple             # Quadruple Battery
ActuallyAdditions:itemBatteryQuintuple             # Quintuple Battery
ActuallyAdditions:itemBatteryTriple                # Triple Battery
ActuallyAdditions:itemBooklet                      # Actually Additions Manual
ActuallyAdditions:itemBootsCrystalBlack            # Void Crystal Boots
ActuallyAdditions:itemBootsCrystalBlue             # Palis Crystal Boots
ActuallyAdditions:itemBootsCrystalGreen            # Emeradic Crystal Boots
ActuallyAdditions:itemBootsCrystalLightBlue        # Diamatine Crystal Boots
ActuallyAdditions:itemBootsCrystalRed              # Restonia Crystal Boots
ActuallyAdditions:itemBootsCrystalWhite            # Enori Crystal Boots
ActuallyAdditions:itemBootsEmerald                 # Emerald Boots
ActuallyAdditions:itemBootsObsidian                # Obsidian Boots
ActuallyAdditions:itemBootsQuartz                  # Black Quartz Boots
ActuallyAdditions:itemBucketCanolaOil              # Canola Oil Bucket
ActuallyAdditions:itemBucketOil                    # Oil Bucket
ActuallyAdditions:itemCanolaSeed                   # Canola Seeds
ActuallyAdditions:itemChestCrystalBlack            # Void Crystal Chestplate
ActuallyAdditions:itemChestCrystalBlue             # Palis Crystal Chestplate
ActuallyAdditions:itemChestCrystalGreen            # Emeradic Crystal Chest
ActuallyAdditions:itemChestCrystalLightBlue        # Diamatine Crystal Chestplate
ActuallyAdditions:itemChestCrystalRed              # Restonia Crystal Chestplate
ActuallyAdditions:itemChestCrystalWhite            # Enori Crystal Chest
ActuallyAdditions:itemChestEmerald                 # Emerald Chestplate
ActuallyAdditions:itemChestObsidian                # Obsidian Chestplate
ActuallyAdditions:itemChestQuartz                  # Black Quartz Chestplate
ActuallyAdditions:itemChestToCrateUpgrade          # Chest To Storage Crate Upgrade
ActuallyAdditions:itemCoffee                       # Cup with Coffee
ActuallyAdditions:itemCoffeeBeans                  # Coffee Beans
ActuallyAdditions:itemCoffeeSeed                   # Coffee Seeds
ActuallyAdditions:itemColorLens                    # Lens of Color
ActuallyAdditions:itemCrafterOnAStick              # Crafting Table On A Stick
ActuallyAdditions:itemCrateKeeper                  # Storage Crate Keeper
ActuallyAdditions:itemCrystal                      # Restonia Crystal
ActuallyAdditions:itemDamageLens                   # Lens of Certain Death
ActuallyAdditions:itemDrill                        # Drill
ActuallyAdditions:itemDrillUpgradeBlockPlacing     # Drill Block Placing Augment
ActuallyAdditions:itemDrillUpgradeFiveByFive       # Drill Mining Augment II
ActuallyAdditions:itemDrillUpgradeFortune          # Drill Fortune Augment I
ActuallyAdditions:itemDrillUpgradeFortuneII        # Drill Fortune Augment II (Gives Fortune III!)
ActuallyAdditions:itemDrillUpgradeSilkTouch        # Drill Silk Touch Augment
ActuallyAdditions:itemDrillUpgradeSpeed            # Drill Speed Augment I
ActuallyAdditions:itemDrillUpgradeSpeedII          # Drill Speed Augment II
ActuallyAdditions:itemDrillUpgradeSpeedIII         # Drill Speed Augment III
ActuallyAdditions:itemDrillUpgradeThreeByThree     # Drill Mining Augment I
ActuallyAdditions:itemDust                         # Crushed Iron
ActuallyAdditions:itemExplosionLens                # Lens of Detonation
ActuallyAdditions:itemFertilizer                   # Fertilizer
ActuallyAdditions:itemFlaxSeed                     # Flax Seeds
ActuallyAdditions:itemFood                         # Cheese
ActuallyAdditions:itemGrowthRing                   # Ring of Growth
ActuallyAdditions:itemHairyBall                    # Ball of Fur
ActuallyAdditions:itemHelmCrystalBlack             # Void Crystal Helmet
ActuallyAdditions:itemHelmCrystalBlue              # Palis Crystal Helmet
ActuallyAdditions:itemHelmCrystalGreen             # Emeradic Crystal Helmet
ActuallyAdditions:itemHelmCrystalLightBlue         # Diamatine Crystal Helmet
ActuallyAdditions:itemHelmCrystalRed               # Restonia Crystal Helmet
ActuallyAdditions:itemHelmCrystalWhite             # Enori Crystal Helmet
ActuallyAdditions:itemHelmEmerald                  # Emerald Helmet
ActuallyAdditions:itemHelmObsidian                 # Obsidian Helmet
ActuallyAdditions:itemHelmQuartz                   # Black Quartz Helmet
ActuallyAdditions:itemHoeCrystalBlack              # Void Crystal Hoe
ActuallyAdditions:itemHoeCrystalBlue               # Palis Crystal Hoe
ActuallyAdditions:itemHoeCrystalGreen              # Emeradic Crystal Hoe
ActuallyAdditions:itemHoeCrystalLightBlue          # Diamatine Crystal Hoe
ActuallyAdditions:itemHoeCrystalRed                # Restonia Crystal Hoe
ActuallyAdditions:itemHoeCrystalWhite              # Enori Crystal Hoe
ActuallyAdditions:itemHoeEmerald                   # Emerald Hoe
ActuallyAdditions:itemHoeObsidian                  # Obsidian Hoe
ActuallyAdditions:itemHoeQuartz                    # Black Quartz Hoe
ActuallyAdditions:itemJam                          # CuBaRa-Jam
ActuallyAdditions:itemKnife                        # Knife
ActuallyAdditions:itemLaserWrench                  # Laser Wrench
ActuallyAdditions:itemLeafBlower                   # Leaf Blower
ActuallyAdditions:itemLeafBlowerAdvanced           # Advanced Leaf Blower
ActuallyAdditions:itemMisc                         # Paper Cone
ActuallyAdditions:itemPantsCrystalBlack            # Void Crystal Pants
ActuallyAdditions:itemPantsCrystalBlue             # Palis Crystal Pants
ActuallyAdditions:itemPantsCrystalGreen            # Emeradic Crystal Pants
ActuallyAdditions:itemPantsCrystalLightBlue        # Diamatine Crystal Pants
ActuallyAdditions:itemPantsCrystalRed              # Restonia Crystal Pants
ActuallyAdditions:itemPantsCrystalWhite            # Enori Crystal Pants
ActuallyAdditions:itemPantsEmerald                 # Emerald Pants
ActuallyAdditions:itemPantsObsidian                # Obsidian Pants
ActuallyAdditions:itemPantsQuartz                  # Black Quartz Pants
ActuallyAdditions:itemPaxelCrystalBlack            # Void Crystal AIOT
ActuallyAdditions:itemPaxelCrystalBlue             # Palis Crystal AIOT
ActuallyAdditions:itemPaxelCrystalGreen            # Emeradic Crystal AIOT
ActuallyAdditions:itemPaxelCrystalLightBlue        # Diamatine Crystal AIOT
ActuallyAdditions:itemPaxelCrystalRed              # Restonia Crystal AIOT
ActuallyAdditions:itemPaxelCrystalWhite            # Enori Crystal AIOT
ActuallyAdditions:itemPhantomConnector             # Phantom Connector
ActuallyAdditions:itemPickaxeCrystalBlack          # Void Crystal Pickaxe
ActuallyAdditions:itemPickaxeCrystalBlue           # Palis Crystal Pickaxe
ActuallyAdditions:itemPickaxeCrystalGreen          # Emeradic Crystal Pickaxe
ActuallyAdditions:itemPickaxeCrystalLightBlue      # Diamatine Crystal Pickaxe
ActuallyAdditions:itemPickaxeCrystalRed            # Restonia Crystal Pickaxe
ActuallyAdditions:itemPickaxeCrystalWhite          # Enori Crystal Pickaxe
ActuallyAdditions:itemPickaxeEmerald               # Emerald Pickaxe
ActuallyAdditions:itemPickaxeObsidian              # Obsidian Pickaxe
ActuallyAdditions:itemPickaxeQuartz                # Black Quartz Pickaxe
ActuallyAdditions:itemPotionRing                   # Ring of Speed
ActuallyAdditions:itemPotionRingAdvanced           # Advanced Ring of Speed
ActuallyAdditions:itemResonantRice                 # Resonant Rice
ActuallyAdditions:itemRiceSeed                     # Rice Seeds
ActuallyAdditions:itemShovelCrystalBlack           # Void Crystal Shovel
ActuallyAdditions:itemShovelCrystalBlue            # Palis Crystal Shovel
ActuallyAdditions:itemShovelCrystalGreen           # Emeradic Crystal Shovel
ActuallyAdditions:itemShovelCrystalLightBlue       # Diamatine Crystal Shovel
ActuallyAdditions:itemShovelCrystalRed             # Restonia Crystal Shovel
ActuallyAdditions:itemShovelCrystalWhite           # Enori Crystal Shovel
ActuallyAdditions:itemShovelEmerald                # Emerald Shovel
ActuallyAdditions:itemShovelObsidian               # Obsidian Shovel
ActuallyAdditions:itemShovelQuartz                 # Black Quartz Shovel
ActuallyAdditions:itemSolidifiedExperience         # Solidified Experience
ActuallyAdditions:itemSuctionRing                  # Ring of Magnetizing
ActuallyAdditions:itemSwordCrystalBlack            # Void Crystal Sword
ActuallyAdditions:itemSwordCrystalBlue             # Palis Crystal Sword
ActuallyAdditions:itemSwordCrystalGreen            # Emeradic Crystal Sword
ActuallyAdditions:itemSwordCrystalLightBlue        # Diamatine Crystal Sword
ActuallyAdditions:itemSwordCrystalRed              # Restonia Crystal Sword
ActuallyAdditions:itemSwordCrystalWhite            # Enori Crystal Sword
ActuallyAdditions:itemSwordEmerald                 # Emerald Sword
ActuallyAdditions:itemSwordObsidian                # Obsidian Sword
ActuallyAdditions:itemSwordQuartz                  # Black Quartz Sword
ActuallyAdditions:itemTeleStaff                    # Teleport Staff
ActuallyAdditions:itemWaterRemovalRing             # Ring of Liquid Banning
ActuallyAdditions:itemWingsOfTheBats               # Wings Of The Bats
ActuallyAdditions:obsidianPaxel                    # Obsidian AIOT
ActuallyAdditions:paxelMTBronze                    # MT Bronze AIOT
ActuallyAdditions:paxelMTGlowstone                 # MT Glowstone AIOT
ActuallyAdditions:paxelMTLapisLazuli               # MT Lapis Lazuli AIOT
ActuallyAdditions:paxelMTObsidian                  # MT Obsidian AIOT
ActuallyAdditions:paxelMTOsmium                    # MT Osmium AIOT
ActuallyAdditions:paxelMTSteel                     # MT Steel AIOT
ActuallyAdditions:paxelTFBronze                    # TF Bronze AIOT
ActuallyAdditions:paxelTFCopper                    # TF Copper AIOT
ActuallyAdditions:paxelTFElectrum                  # TF Electrum AIOT
ActuallyAdditions:paxelTFInvar                     # TF Invar AIOT
ActuallyAdditions:paxelTFLead                      # TF Lead AIOT
ActuallyAdditions:paxelTFNickel                    # TF Ferrous AIOT
ActuallyAdditions:paxelTFPlatinum                  # TF Shiny AIOT
ActuallyAdditions:paxelTFSilver                    # TF Silver AIOT
ActuallyAdditions:paxelTFTin                       # TF Tin AIOT
ActuallyAdditions:quartzPaxel                      # Black Quartz AIOT
ActuallyAdditions:stonePaxel                       # Stone AIOT
ActuallyAdditions:woodenPaxel                      # Wooden AIOT
Additional-Buildcraft-Objects:AutoCompressor       # Auto Compressor
Additional-Buildcraft-Objects:GoldenStaff          # Yellow Dye on a Stick
Additional-Buildcraft-Objects:MobBottle            # Mob Bottle
Additional-Buildcraft-Objects:ThermalImplication   # Thermal Implication
Additional-Buildcraft-Objects:acceleratorBlock     # Accelerator
Additional-Buildcraft-Objects:brickNoCrossing      # §oThe Line§r
Additional-Buildcraft-Objects:item.buildcraftPipe.pipefluidsbalance # Balancing Fluid Pipe
Additional-Buildcraft-Objects:item.buildcraftPipe.pipefluidsdrain # Drain Pipe
Additional-Buildcraft-Objects:item.buildcraftPipe.pipefluidsgoldeniron # Golden Iron Fluid Pipe
Additional-Buildcraft-Objects:item.buildcraftPipe.pipefluidsinsertion # Insertion Fluid Pipe
Additional-Buildcraft-Objects:item.buildcraftPipe.pipefluidsreinforcedgolden # Reinforced Golden Fluid Pipe
Additional-Buildcraft-Objects:item.buildcraftPipe.pipefluidsreinforcedgoldeniron # Reinforced Golden Iron Fluid Pipe
Additional-Buildcraft-Objects:item.buildcraftPipe.pipefluidsvalve # Valve Pipe
Additional-Buildcraft-Objects:item.buildcraftPipe.pipeitemsbounce # Bounce Transport Pipe
Additional-Buildcraft-Objects:item.buildcraftPipe.pipeitemscompactor # Compactor Transport Pipe
Additional-Buildcraft-Objects:item.buildcraftPipe.pipeitemscrossover # Crossover Transport Pipe
Additional-Buildcraft-Objects:item.buildcraftPipe.pipeitemsdivide # Division Transport Pipe
Additional-Buildcraft-Objects:item.buildcraftPipe.pipeitemsenderextraction # Ender Extraction Pipe
Additional-Buildcraft-Objects:item.buildcraftPipe.pipeitemsextraction # Extraction Transport Pipe
Additional-Buildcraft-Objects:item.buildcraftPipe.pipeitemsinsertion # Insertion Pipe
Additional-Buildcraft-Objects:item.buildcraftPipe.pipeitemsroundrobin # Round-Robin Transport Pipe
Additional-Buildcraft-Objects:item.buildcraftPipe.pipepowerdirected # Diode Kinesis Pipe
Additional-Buildcraft-Objects:item.buildcraftPipe.pipepowerswitch # Kinesis Switch Pipe
Additional-Buildcraft-Objects:largebuttonstone     # Large Stone Button
Additional-Buildcraft-Objects:largebuttonwood      # Large Wooden Button
Additional-Buildcraft-Objects:null                 # Unnamed Block, report to mod author.
Additional-Buildcraft-Objects:nullCollide          # Unnamed Block, report to mod author.
Additional-Buildcraft-Objects:sandStone            # Sandstone Bricks
Additional-Buildcraft-Objects:waterwheelBlock      # Waterwheel
Additional-Buildcraft-Objects:waterwheelItem       # Waterwheel
Additional-Buildcraft-Objects:windmillBlock        # Windmill
AgriCraft:channelValve                             # Wooden Channel Valve
AgriCraft:clipper                                  # Clipper
AgriCraft:clipping                                 # Clipping
AgriCraft:cropAllium                               # Allium
AgriCraft:cropAurigold                             # Aurigold
