Mod:Item:MetaData, Localized Name
minecraft:wool:3, Light Blue Wool
minecraft:wool:4, Yellow Wool
minecraft:wool:5, Lime Wool
minecraft:wool:6, Pink Wool
minecraft:wool:7, Gray Wool
minecraft:wool:8, Light Gray Wool
minecraft:wool:9, Cyan Wool
minecraft:wool:10, Purple Wool
minecraft:wool:11, Blue Wool
minecraft:wool:12, Brown Wool
minecraft:wool:13, Green Wool
minecraft:wool:14, Red Wool
minecraft:wool:15, Black Wool
minecraft:yellow_flower:0, Dandelion
minecraft:red_flower:0, Poppy
minecraft:red_flower:1, Blue Orchid
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Red Tulip
minecraft:red_flower:5, Orange Tulip
minecraft:red_flower:6, White Tulip
minecraft:red_flower:7, Pink Tulip
minecraft:red_flower:8, Oxeye Daisy
minecraft:brown_mushroom, Mushroom
minecraft:red_mushroom, Mushroom
minecraft:gold_block, Block of Gold
minecraft:iron_block, Block of Iron
minecraft:stone_slab:0, Smooth Stone Slab
minecraft:stone_slab:1, Sandstone Slab
minecraft:stone_slab:3, Cobblestone Slab
minecraft:stone_slab:4, Bricks Slab
minecraft:stone_slab:5, Stone Bricks Slab
minecraft:stone_slab:6, Nether Brick Slab
minecraft:stone_slab:7, Quartz Slab
minecraft:brick_block, Bricks
minecraft:tnt, TNT
minecraft:bookshelf, Bookshelf
minecraft:mossy_cobblestone, Moss Stone
minecraft:obsidian, Obsidian
minecraft:torch, Torch
minecraft:fire, Fire
minecraft:mob_spawner:0, Monster Spawner
minecraft:oak_stairs, Oak Wood Stairs
minecraft:chest, Chest
minecraft:diamond_ore, Diamond Ore
minecraft:diamond_block, Block of Diamond
minecraft:crafting_table, Crafting Table
minecraft:farmland, Farmland
minecraft:furnace, Furnace
minecraft:lit_furnace, Furnace
minecraft:ladder, Ladder
minecraft:rail, Track
minecraft:stone_stairs, Cobblestone Stairs
minecraft:lever, Lever
minecraft:stone_pressure_plate, Pressure Plate
minecraft:wooden_pressure_plate, Pressure Plate
minecraft:redstone_ore, Redstone Ore
minecraft:redstone_torch, Redstone Torch
minecraft:stone_button, Button
minecraft:snow_layer:0, Snow
minecraft:ice, Ice
minecraft:snow, Snow
minecraft:cactus, Cactus
minecraft:clay, Clay
minecraft:jukebox, Jukebox
minecraft:fence:0, Oak Fence
minecraft:fence:1, Spruce Fence
minecraft:fence:2, Birch Fence
minecraft:fence:3, Jungle Fence
minecraft:fence:4, Acacia Fence
minecraft:fence:5, Dark Oak Fence
minecraft:pumpkin, Pumpkin
minecraft:netherrack, Netherrack
minecraft:soul_sand, Soul Sand
minecraft:glowstone, Glowstone
minecraft:portal, Portal
minecraft:lit_pumpkin, Jack o'Lantern
minecraft:stained_glass:0, White Stained Glass
minecraft:stained_glass:1, Orange Stained Glass
minecraft:stained_glass:2, Magenta Stained Glass
minecraft:stained_glass:3, Light Blue Stained Glass
minecraft:stained_glass:4, Yellow Stained Glass
minecraft:stained_glass:5, Lime Stained Glass
minecraft:stained_glass:6, Pink Stained Glass
minecraft:stained_glass:7, Gray Stained Glass
minecraft:stained_glass:8, Light Gray Stained Glass
minecraft:stained_glass:9, Cyan Stained Glass
minecraft:stained_glass:10, Purple Stained Glass
minecraft:stained_glass:11, Blue Stained Glass
minecraft:stained_glass:12, Brown Stained Glass
minecraft:stained_glass:13, Green Stained Glass
minecraft:stained_glass:14, Red Stained Glass
minecraft:stained_glass:15, Black Stained Glass
minecraft:trapdoor, Oak Trapdoor
minecraft:monster_egg:0, Silverfish Block
minecraft:monster_egg:1, Silverfish Block
minecraft:monster_egg:2, Silverfish Block
minecraft:monster_egg:3, Silverfish Block
minecraft:monster_egg:4, Silverfish Block
minecraft:monster_egg:5, Silverfish Block
minecraft:stonebrick:0, Stone Bricks
minecraft:stonebrick:1, Mossy Stone Bricks
minecraft:stonebrick:2, Cracked Stone Bricks
minecraft:stonebrick:3, Chiseled Stone Bricks
minecraft:brown_mushroom_block, Mushroom
minecraft:red_mushroom_block, Mushroom
minecraft:iron_bars, Iron Bars
minecraft:glass_pane, Glass Pane
minecraft:melon_block, Melon
minecraft:vine, Vines
minecraft:fence_gate, Oak Fence Gate
minecraft:brick_stairs, Brick Stairs
minecraft:stone_brick_stairs, Stone Brick Stairs
minecraft:mycelium, Mycelium
minecraft:waterlily, Lily Pad
minecraft:nether_brick, Nether Brick
minecraft:nether_brick_fence, Nether Brick Fence
minecraft:nether_brick_stairs, Nether Brick Stairs
minecraft:enchanting_table, Enchantment Table
minecraft:end_portal, Unnamed Block, report to mod author.
minecraft:end_portal_frame, End Portal
minecraft:end_stone, End Stone
minecraft:dragon_egg, Dragon Egg
minecraft:redstone_lamp, Redstone Lamp
minecraft:wooden_slab:0, Oak Wood Slab
minecraft:wooden_slab:1, Spruce Wood Slab
minecraft:wooden_slab:2, Birch Wood Slab
minecraft:wooden_slab:3, Jungle Wood Slab
minecraft:wooden_slab:4, Acacia Wood Slab
minecraft:wooden_slab:5, Dark Oak Wood Slab
minecraft:cocoa, Cocoa
minecraft:sandstone_stairs, Sandstone Stairs
minecraft:emerald_ore, Emerald Ore
minecraft:ender_chest, Ender Chest
minecraft:tripwire_hook, Tripwire Hook
minecraft:emerald_block, Block of Emerald
minecraft:spruce_stairs, Spruce Wood Stairs
minecraft:birch_stairs, Birch Wood Stairs
minecraft:jungle_stairs, Jungle Wood Stairs
minecraft:command_block, Command Block
minecraft:beacon, Beacon
minecraft:cobblestone_wall:0, Cobblestone Wall
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall
minecraft:carrots, Carrots
minecraft:potatoes, Potatoes
minecraft:wooden_button, Button
minecraft:anvil:0, Anvil
minecraft:anvil:1, Slightly Damaged Anvil
minecraft:anvil:2, Very Damaged Anvil
minecraft:trapped_chest, Trapped Chest
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy)
minecraft:daylight_detector, Daylight Sensor
minecraft:redstone_block, Block of Redstone
minecraft:quartz_ore, Nether Quartz Ore
minecraft:hopper, Hopper
minecraft:quartz_block:0, Block of Quartz
minecraft:quartz_block:1, Chiseled Quartz Block
minecraft:quartz_block:2, Pillar Quartz Block
minecraft:quartz_stairs, Quartz Stairs
minecraft:activator_rail, Activator Track
minecraft:dropper, Dropper
minecraft:stained_hardened_clay:0, White Stained Clay
minecraft:stained_hardened_clay:1, Orange Stained Clay
minecraft:stained_hardened_clay:2, Magenta Stained Clay
minecraft:stained_hardened_clay:3, Light Blue Stained Clay
minecraft:stained_hardened_clay:4, Yellow Stained Clay
minecraft:stained_hardened_clay:5, Lime Stained Clay
minecraft:stained_hardened_clay:6, Pink Stained Clay
minecraft:stained_hardened_clay:7, Gray Stained Clay
minecraft:stained_hardened_clay:8, Light Gray Stained Clay
minecraft:stained_hardened_clay:9, Cyan Stained Clay
minecraft:stained_hardened_clay:10, Purple Stained Clay
minecraft:stained_hardened_clay:11, Blue Stained Clay
minecraft:stained_hardened_clay:12, Brown Stained Clay
minecraft:stained_hardened_clay:13, Green Stained Clay
minecraft:stained_hardened_clay:14, Red Stained Clay
minecraft:stained_hardened_clay:15, Black Stained Clay
minecraft:stained_glass_pane:0, White Stained Glass Pane
minecraft:stained_glass_pane:1, Orange Stained Glass Pane
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane
minecraft:stained_glass_pane:5, Lime Stained Glass Pane
minecraft:stained_glass_pane:6, Pink Stained Glass Pane
minecraft:stained_glass_pane:7, Gray Stained Glass Pane
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane
minecraft:stained_glass_pane:10, Purple Stained Glass Pane
minecraft:stained_glass_pane:11, Blue Stained Glass Pane
minecraft:stained_glass_pane:12, Brown Stained Glass Pane
minecraft:stained_glass_pane:13, Green Stained Glass Pane
minecraft:stained_glass_pane:14, Red Stained Glass Pane
minecraft:stained_glass_pane:15, Black Stained Glass Pane
minecraft:leaves2:0, Acacia Leaves
minecraft:leaves2:1, Dark Oak Leaves
minecraft:log2:0, Acacia Wood
minecraft:log2:1, Dark Oak Wood
minecraft:acacia_stairs, Acacia Wood Stairs
minecraft:dark_oak_stairs, Dark Oak Wood Stairs
BrickslandRu Pride flags:PrideTrans, Transgender flag
BrickslandRu Pride flags:PrideNonbinary, Nonbinary flag
BrickslandRu Pride flags:PrideAll, Progress Pride Flag
BrickslandRu Pride flags:PrideBisexual, Bisexual flag
BrickslandRu Pride flags:PridePansexual, Pansexual flag
minecraft:hay_block, Hay Bale
minecraft:carpet:0, Carpet
minecraft:carpet:1, Orange Carpet
minecraft:carpet:2, Magenta Carpet
minecraft:carpet:3, Light Blue Carpet
minecraft:carpet:4, Yellow Carpet
minecraft:carpet:5, Lime Carpet
minecraft:carpet:6, Pink Carpet
minecraft:carpet:7, Gray Carpet
minecraft:carpet:8, Light Gray Carpet
minecraft:carpet:9, Cyan Carpet
minecraft:carpet:10, Purple Carpet
minecraft:carpet:11, Blue Carpet
minecraft:carpet:12, Brown Carpet
minecraft:carpet:13, Green Carpet
minecraft:carpet:14, Red Carpet
minecraft:carpet:15, Black Carpet
minecraft:hardened_clay, Hardened Clay
minecraft:coal_block, Block of Coal
minecraft:packed_ice, Packed Ice
minecraft:double_plant:0, Sunflower
minecraft:double_plant:1, Lilac
minecraft:double_plant:2, Double Tallgrass
minecraft:double_plant:3, Large Fern
minecraft:double_plant:4, Rose Bush
minecraft:double_plant:5, Peony
BrickslandRu Pride flags:PrideAsexual, Asexual flag
BrickslandRu Pride flags:PrideLesby, Lesbian flag
BrickslandRu Pride flags:PrideQueer, Genderqueer flag
BrickslandRu Pride flags:PridePolysexual, Polysexual flag
BrickslandRu Pride flags:PrideHeterosexual, Heterosexual flag
BrickslandRu Pride flags:PrideDemysexual, Demisexual flag
BrickslandRu Pride flags:PrideAgender, Agender flag
BrickslandRu Pride flags:PrideLgbt, Pride flag
BrickslandRu Pride flags:PrideDeboy, Demiboy flag
BrickslandRu Pride flags:PrideDemigirl, Demigirl flag
BrickslandRu Pride flags:PridePolyamory, Polyamorous flag
BrickslandRu Pride flags:PrideBdsm, Leather Pride flag
BrickslandRu Pride flags:PrideBear, Bear flag
BrickslandRu Pride flags:PrideAromantic, Aromantics flag
DawnofthePlanetoftheApes:ALZblock, Alz-113 Block
WackyWeapons:AdamantiumOre, Adamantium Ore
WackyWeapons:IridiumOre, Iridium Ore
WackyWeapons:IridiumBlock, Iridium Block
WackyWeapons:AdamantiumBlock, Adamantium Block
WackyWeapons:UltaniumBlock, Ultanium Block
WackyWeapons:MeatInfusedDiamonBlock, Meat Infused Diamond Block
KoRIN-Bluebadrock:bluebedrock, tile.Bluebedrock.name
DungeonTools:dt_spawner, spawner.name
DungeonTools:dt_entitydetector, entityDetector.name
DungeonTools:dt_chatdetector, chatDetector.name
DungeonTools:dt_particleEmitter, particleEmitter.name
DungeonTools:dt_dispenser, dtDispenser.name
DungeonTools:dt_antispawner, dtAntispawner.name
DungeonTools:dt_destroyer, dtDestroyer.name
DungeonTools:dt_placer, dtPlacer.name
DungeonTools:dt_earthquaker, dtEarthquaker.name
DungeonTools:dt_fade, dtfade.name
Pistronics2:Mechanic Piston, Mechanic Piston
Pistronics2:Mechanic Rotator, Mechanic Rotator
Pistronics2:Creative Machine, Creative Machine
Pistronics2:Rod Folder, Rod Folder
Pistronics2:Rod Block, Rod
Pistronics2:Extension Block, Extension
Pistronics2:Block of Camou, Block of Camou
Pistronics2:Partblock, Partblock
Pistronics2:Rod Part Block, Rod Part
Pistronics2:Extension Part Block, Extension Part
Pistronics2:Motion Block, Motion Block
Pistronics2:Slimeblock:0, Slimeblock
Pistronics2:Slimeblock:1, Glueblock
Pistronics2:Slimeblock:2, Block of Superglue!
Pistronics2:Gear, Gear (WIP)
Pistronics2:GearPart, GearPart.name
Pistronics2:Sail Part, Sail Part
Pistronics2:Statue, Statue
Pistronics2:Stopper, Stopper.name
Pistronics2:Mechanic Sensor, Mechanic Sensor
Pistronics2:Wrapper, Wrapper.name
securitycraft:laserBlock, Laser Block 
securitycraft:laser, Laser 
securitycraft:keypad, Keypad
securitycraft:mine, Mine
securitycraft:mineCut, tile.securitycraft:mineCut.name
securitycraft:dirtMine, Dirt Mine
securitycraft:stoneMine, Stone Mine
securitycraft:cobblestoneMine, Cobblestone Mine
securitycraft:diamondMine, Diamond Ore Mine
securitycraft:sandMine, Sand Mine
securitycraft:furnaceMine, Furnace Mine
securitycraft:retinalScanner, Retinal Scanner
securitycraft:ironDoorReinforced, Reinforced Door
securitycraft:bogusLava, Fake Lava
securitycraft:bogusLavaFlowing, tile.securitycraft:bogusLavaFlowing.name
securitycraft:bogusWater, Fake Water
securitycraft:bogusWaterFlowing, tile.securitycraft:bogusWaterFlowing.name
securitycraft:keycardReader, Keycard Reader
securitycraft:ironTrapdoor, Iron Trapdoor
securitycraft:bouncingBetty, Bouncing Betty
securitycraft:inventoryScanner, Inventory Scanner
securitycraft:inventoryScannerField, Inventory Scanner Field
securitycraft:trackMine, Track Mine
securitycraft:cageTrap, Cage Trap
securitycraft:portableRadar, Portable Radar
securitycraft:deactivatedCageTrap, Deactivated Cage Trap
securitycraft:reinforcedStone, Reinforced Stone
securitycraft:keypadChest, Password-protected Chest
minecraft:iron_shovel, Iron Shovel
minecraft:iron_pickaxe, Iron Pickaxe
minecraft:iron_axe, Iron Axe
minecraft:flint_and_steel, Flint and Steel
minecraft:apple, Apple
minecraft:bow, Shortbow
minecraft:arrow, Arrow
minecraft:coal:0, Coal
minecraft:coal:1, Charcoal
minecraft:diamond, Diamond
minecraft:iron_ingot, Iron Ingot
minecraft:gold_ingot, Gold Ingot
minecraft:iron_sword, Iron Sword
minecraft:wooden_sword, Wooden Sword
minecraft:wooden_shovel, Wooden Shovel
minecraft:wooden_pickaxe, Wooden Pickaxe
minecraft:wooden_axe, Wooden Axe
minecraft:stone_sword, Stone Sword
minecraft:stone_shovel, Stone Shovel
minecraft:stone_pickaxe, Stone Pickaxe
minecraft:stone_axe, Stone Axe
minecraft:diamond_sword, Diamond Sword
minecraft:diamond_shovel, Diamond Shovel
minecraft:diamond_pickaxe, Diamond Pickaxe
minecraft:diamond_axe, Diamond Axe
minecraft:stick, Stick
minecraft:bowl, Bowl
minecraft:mushroom_stew, Mushroom Stew
minecraft:golden_sword, Golden Sword
minecraft:golden_shovel, Golden Shovel
minecraft:golden_pickaxe, Golden Pickaxe
minecraft:golden_axe, Golden Axe
minecraft:string, String
minecraft:feather, Feather
minecraft:gunpowder, Gunpowder
minecraft:wooden_hoe, Wooden Hoe
minecraft:stone_hoe, Stone Hoe
minecraft:iron_hoe, Iron Hoe
minecraft:diamond_hoe, Diamond Hoe
minecraft:golden_hoe, Golden Hoe
minecraft:wheat_seeds, Seeds
minecraft:wheat, Wheat
minecraft:bread, Bread
minecraft:leather_helmet, Leather Cap
minecraft:leather_chestplate, Leather Tunic
minecraft:leather_leggings, Leather Pants
minecraft:leather_boots, Leather Boots
minecraft:chainmail_helmet, Chain Helmet
minecraft:chainmail_chestplate, Chain Chestplate
minecraft:chainmail_leggings, Chain Leggings
minecraft:chainmail_boots, Chain Boots
minecraft:iron_helmet, Iron Helmet
minecraft:iron_chestplate, Iron Chestplate
minecraft:iron_leggings, Iron Leggings
minecraft:iron_boots, Iron Boots
minecraft:diamond_helmet, Diamond Helmet
minecraft:diamond_chestplate, Diamond Chestplate
minecraft:diamond_leggings, Diamond Leggings
minecraft:diamond_boots, Diamond Boots
minecraft:golden_helmet, Golden Helmet
minecraft:golden_chestplate, Golden Chestplate
minecraft:golden_leggings, Golden Leggings
minecraft:golden_boots, Golden Boots
minecraft:flint, Flint
minecraft:porkchop, Raw Porkchop
minecraft:cooked_porkchop, Cooked Porkchop
minecraft:painting, Painting
minecraft:golden_apple:0, Golden Apple
minecraft:golden_apple:1, Golden Apple
minecraft:sign, Sign
minecraft:wooden_door, Oak Door
minecraft:bucket, Bucket
minecraft:water_bucket, Water Bucket
minecraft:lava_bucket, Lava Bucket
minecraft:minecart, Minecart
minecraft:saddle, Saddle
minecraft:iron_door, Iron Door
minecraft:redstone, Redstone
minecraft:snowball, Snowball
minecraft:boat, Boat
minecraft:leather, Leather
minecraft:milk_bucket, Milk Bucket
minecraft:brick, Brick
minecraft:clay_ball, Clay
minecraft:reeds, Sugar Canes
minecraft:paper, Paper
minecraft:book, Book
minecraft:slime_ball, Slimeball
minecraft:chest_minecart, Chest Cart
minecraft:furnace_minecart, Furnace Cart
minecraft:egg, Egg
minecraft:compass, Compass
minecraft:fishing_rod, Wooden Fishing Rod
minecraft:clock, Clock
minecraft:glowstone_dust, Glowstone Dust
minecraft:fish:0, Raw Fish
minecraft:fish:1, Raw Salmon
minecraft:fish:2, Clownfish
minecraft:fish:3, Pufferfish
minecraft:cooked_fished:0, Cooked Fish
minecraft:cooked_fished:1, Cooked Salmon
minecraft:dye:0, Ink Sac
minecraft:dye:1, Red Dye
minecraft:dye:2, Green Dye
minecraft:dye:3, Cocoa Beans
minecraft:dye:4, Lapis Lazuli
minecraft:dye:5, Purple Dye
minecraft:dye:6, Cyan Dye
minecraft:dye:7, Light Gray Dye
minecraft:dye:8, Gray Dye
minecraft:dye:9, Pink Dye
minecraft:dye:10, Lime Dye
minecraft:dye:11, Yellow Dye
minecraft:dye:12, Light Blue Dye
minecraft:dye:13, Magenta Dye
minecraft:dye:14, Orange Dye
minecraft:dye:15, Bone Meal
minecraft:bone, Bone
minecraft:sugar, Sugar
minecraft:cake, Cake
minecraft:bed, Bed
minecraft:repeater, Redstone Repeater
minecraft:cookie, Cookie
minecraft:filled_map:0, Map
minecraft:shears, Shears
minecraft:melon, Melon
minecraft:pumpkin_seeds, Pumpkin Seeds
minecraft:melon_seeds, Melon Seeds
minecraft:beef, Raw Beef
minecraft:cooked_beef, Steak
minecraft:chicken, Raw Chicken
minecraft:cooked_chicken, Cooked Chicken
minecraft:rotten_flesh, Rotten Flesh
minecraft:ender_pearl, Ender Pearl
minecraft:blaze_rod, Blaze Rod
minecraft:ghast_tear, Ghast Tear
minecraft:gold_nugget, Gold Nugget
minecraft:nether_wart, Nether Wart
minecraft:potion:0, Water Bottle
minecraft:potion:8193, Potion of Regeneration
minecraft:potion:8225, Potion of Regeneration
minecraft:potion:8257, Potion of Regeneration
minecraft:potion:16385, Splash Potion of Regeneration
minecraft:potion:16417, Splash Potion of Regeneration
minecraft:potion:16449, Splash Potion of Regeneration
minecraft:potion:8194, Potion of Swiftness
minecraft:potion:8226, Potion of Swiftness
minecraft:potion:8258, Potion of Swiftness
minecraft:potion:16386, Splash Potion of Swiftness
minecraft:potion:16418, Splash Potion of Swiftness
minecraft:potion:16450, Splash Potion of Swiftness
minecraft:potion:8227, Potion of Fire Resistance
minecraft:potion:8259, Potion of Fire Resistance
minecraft:potion:16419, Splash Potion of Fire Resistance
minecraft:potion:16451, Splash Potion of Fire Resistance
minecraft:potion:8196, Potion of Poison
minecraft:potion:8228, Potion of Poison
minecraft:potion:8260, Potion of Poison
minecraft:potion:16388, Splash Potion of Poison
minecraft:potion:16420, Splash Potion of Poison
minecraft:potion:16452, Splash Potion of Poison
minecraft:potion:8261, Potion of Healing
minecraft:potion:8229, Potion of Healing
minecraft:potion:16453, Splash Potion of Healing
minecraft:potion:16421, Splash Potion of Healing
minecraft:potion:8230, Potion of Night Vision
minecraft:potion:8262, Potion of Night Vision
minecraft:potion:16422, Splash Potion of Night Vision
minecraft:potion:16454, Splash Potion of Night Vision
minecraft:potion:8232, Potion of Weakness
minecraft:potion:8264, Potion of Weakness
minecraft:potion:16424, Splash Potion of Weakness
minecraft:potion:16456, Splash Potion of Weakness
minecraft:potion:8201, Potion of Strength
minecraft:potion:8233, Potion of Strength
minecraft:potion:8265, Potion of Strength
minecraft:potion:16393, Splash Potion of Strength
minecraft:potion:16425, Splash Potion of Strength
minecraft:potion:16457, Splash Potion of Strength
minecraft:potion:8234, Potion of Slowness
minecraft:potion:8266, Potion of Slowness
minecraft:potion:16426, Splash Potion of Slowness
minecraft:potion:16458, Splash Potion of Slowness
minecraft:potion:8268, Potion of Harming
minecraft:potion:8236, Potion of Harming
minecraft:potion:16460, Splash Potion of Harming
minecraft:potion:16428, Splash Potion of Harming
minecraft:potion:8237, Potion of Water Breathing
minecraft:potion:8269, Potion of Water Breathing
minecraft:potion:16429, Splash Potion of Water Breathing
minecraft:potion:16461, Splash Potion of Water Breathing
minecraft:potion:8238, Potion of Invisibility
minecraft:potion:8270, Potion of Invisibility
minecraft:potion:16430, Splash Potion of Invisibility
minecraft:potion:16462, Splash Potion of Invisibility
minecraft:glass_bottle, Glass Bottle
minecraft:spider_eye, Spider Eye
minecraft:fermented_spider_eye, Fermented Spider Eye
minecraft:blaze_powder, Blaze Powder
minecraft:magma_cream, Magma Cream
minecraft:brewing_stand, Brewing Stand
minecraft:cauldron, Cauldron
minecraft:ender_eye, Eye of Ender
minecraft:speckled_melon, Glistering Melon
minecraft:spawn_egg:50, Spawn Creeper
minecraft:spawn_egg:51, Spawn Skeleton
minecraft:spawn_egg:52, Spawn Spider
minecraft:spawn_egg:54, Spawn Zombie
minecraft:spawn_egg:55, Spawn Slime
minecraft:spawn_egg:56, Spawn Ghast
minecraft:spawn_egg:57, Spawn Zombie Pigman
minecraft:spawn_egg:58, Spawn Enderman
minecraft:spawn_egg:59, Spawn Cave Spider
minecraft:spawn_egg:60, Spawn Silverfish
minecraft:spawn_egg:61, Spawn Blaze
minecraft:spawn_egg:62, Spawn Magma Cube
minecraft:spawn_egg:65, Spawn Bat
minecraft:spawn_egg:66, Spawn Witch
minecraft:spawn_egg:90, Spawn Pig
minecraft:spawn_egg:91, Spawn Sheep
minecraft:spawn_egg:92, Spawn Cow
minecraft:spawn_egg:93, Spawn Chicken
minecraft:spawn_egg:94, Spawn Squid
minecraft:spawn_egg:95, Spawn Wolf
minecraft:spawn_egg:96, Spawn Mooshroom
minecraft:spawn_egg:98, Spawn Ocelot
minecraft:spawn_egg:100, Spawn Horse
minecraft:spawn_egg:120, Spawn Villager
minecraft:spawn_egg:221, Spawn Coal Creeper
minecraft:spawn_egg:223, Spawn Redstone Creeper
minecraft:spawn_egg:225, Spawn Iron Creeper
minecraft:spawn_egg:227, Spawn Gold Creeper
minecraft:spawn_egg:229, Spawn Lapis Creeper
minecraft:spawn_egg:231, Spawn Diamond Creeper
minecraft:spawn_egg:233, Spawn Emerald Creeper
minecraft:spawn_egg:235, Spawn Nether Quartz Creeper
minecraft:spawn_egg:301, Spawn Big Ear
minecraft:spawn_egg:303, Spawn Big Fish
minecraft:spawn_egg:305, Spawn B.U.D.R Bot
minecraft:spawn_egg:307, Spawn Butter Monger
minecraft:spawn_egg:309, Spawn Cooh Bird
minecraft:spawn_egg:311, Spawn Crazy Bird
minecraft:spawn_egg:313, Spawn Cyclops Man
minecraft:spawn_egg:315, Spawn Distorted Man
minecraft:spawn_egg:317, Spawn Fat Fish
minecraft:spawn_egg:319, Spawn Fat Man
minecraft:spawn_egg:321, Spawn Gooftile
minecraft:spawn_egg:323, Spawn Knife Man
minecraft:spawn_egg:325, Spawn Potion Stick
minecraft:spawn_egg:327, Spawn Spider Creeper
minecraft:spawn_egg:329, Spawn Spinning Feets
minecraft:spawn_egg:331, Spawn Stick Man
minecraft:spawn_egg:333, Spawn Tall Man
minecraft:spawn_egg:335, Spawn Terror Trickster
minecraft:spawn_egg:337, Spawn Trinitope
minecraft:spawn_egg:339, Spawn Vest Creeper
minecraft:spawn_egg:341, Spawn Villager Head
minecraft:spawn_egg:343, Spawn Walking Painting
minecraft:spawn_egg:345, Spawn Walking Radio
minecraft:spawn_egg:347, Spawn Wither Creeper
minecraft:spawn_egg:78, Spawn Eagle
minecraft:spawn_egg:79, Spawn Hell Cat
minecraft:spawn_egg:80, Spawn Pixie
minecraft:spawn_egg:81, Spawn Sasori
minecraft:spawn_egg:82, Spawn Sasori
minecraft:spawn_egg:83, Spawn Puppet
minecraft:spawn_egg:84, Spawn Puppet
minecraft:spawn_egg:85, Spawn The Third Kazekage Puppet
minecraft:spawn_egg:130, Spawn Blockling
minecraft:spawn_egg:6396, Spawn Demon
minecraft:spawn_egg:6397, Spawn Mandrake
minecraft:spawn_egg:6398, Spawn Treefyd
minecraft:spawn_egg:6399, Spawn Horned Huntsman
minecraft:spawn_egg:6400, Spawn Ent
minecraft:spawn_egg:6401, Spawn Owl
minecraft:spawn_egg:6402, Spawn Toad
minecraft:spawn_egg:6403, Spawn Baba Yaga
minecraft:spawn_egg:6404, Spawn Coven Witch
minecraft:spawn_egg:6405, Spawn Nightmare
minecraft:spawn_egg:6406, Spawn Spectre
minecraft:spawn_egg:6407, Spawn Poltergeist
minecraft:spawn_egg:6408, Spawn Banshee
minecraft:spawn_egg:6409, Spawn Spirit
minecraft:spawn_egg:6410, Spawn Death
minecraft:spawn_egg:6411, Spawn Witch Hunter
minecraft:spawn_egg:6412, Spawn Lord of Torment
minecraft:spawn_egg:6413, Spawn Flame Imp
minecraft:spawn_egg:6414, Spawn Minedrake
minecraft:spawn_egg:6415, Spawn Hobgoblin
minecraft:spawn_egg:6416, Spawn Mog
minecraft:spawn_egg:6417, Spawn Gulg
minecraft:spawn_egg:6418, Spawn Shade of Leonard
minecraft:spawn_egg:6419, Spawn Lost Soul
minecraft:spawn_egg:6420, Spawn Werewolf
minecraft:spawn_egg:6421, Spawn Hellhound
minecraft:spawn_egg:6422, Spawn Villager
minecraft:spawn_egg:6423, Spawn Guard
